Area_sqft,Bedrooms,Bathrooms,Location,Floors,Parking,House_Age,Price_Lakhs
1660.0,3,,Pune,2.0,1.0,14.0,142.58
2094.0,1,2.0,Bangalore,1.0,2.0,20.0,124.73
1930.0,4,3.0,Mumbai,,0.0,18.0,185.71
1895.0,2,1.0,Pune,3.0,0.0,6.0,119.95
2438.0,5,5.0,Delhi,1.0,2.0,,212.38
2969.0,2,3.0,Bangalore,,0.0,2.0,194.45
1266.0,5,5.0,Bangalore,2.0,0.0,23.0,137.01
2038.0,3,2.0,Delhi,1.0,2.0,19.0,170.88
1130.0,5,5.0,Pune,3.0,2.0,19.0,131.24
2282.0,4,3.0,Hyderabad,1.0,2.0,5.0,173.15
2935.0,1,1.0,Delhi,2.0,2.0,19.0,184.53
930.0,5,4.0,Pune,2.0,1.0,2.0,132.34
2485.0,5,4.0,Delhi,2.0,2.0,10.0,218.08
1569.0,1,2.0,Delhi,2.0,1.0,2.0,128.94
3191.0,4,5.0,Mumbai,2.0,1.0,11.0,245.33
2315.0,2,1.0,Pune,1.0,1.0,18.0,147.98
3233.0,5,5.0,Hyderabad,1.0,0.0,24.0,208.6
2015.0,1,1.0,Mumbai,1.0,1.0,15.0,137.85
1755.0,3,3.0,Delhi,1.0,1.0,9.0,154.16
3124.0,1,1.0,Chennai,2.0,0.0,23.0,159.61
1984.0,3,2.0,Delhi,3.0,0.0,19.0,145.52
1259.0,4,5.0,Delhi,1.0,0.0,9.0,145.4
821.0,2,2.0,Pune,3.0,2.0,3.0,104.23
3100.0,1,1.0,Pune,1.0,0.0,21.0,153.57
1547.0,5,5.0,Mumbai,1.0,0.0,9.0,170.07
1274.0,4,4.0,Hyderabad,3.0,1.0,14.0,127.95
1882.0,1,1.0,Mumbai,2.0,0.0,19.0,128.12
3358.0,5,5.0,Bangalore,1.0,2.0,7.0,254.18
2847.0,1,2.0,,1.0,0.0,16.0,167.96
1775.0,3,2.0,Chennai,1.0,2.0,16.0,122.64
2606.0,1,2.0,Delhi,3.0,0.0,1.0,178.57
989.0,1,1.0,Delhi,2.0,0.0,4.0,100.71
1362.0,1,,Mumbai,3.0,0.0,4.0,118.59
2699.0,4,3.0,Chennai,3.0,0.0,7.0,182.23
2067.0,1,2.0,Chennai,2.0,2.0,8.0,154.14
2328.0,5,4.0,Chennai,3.0,2.0,17.0,176.13
1446.0,3,3.0,Mumbai,2.0,1.0,5.0,148.2
2868.0,3,4.0,Delhi,1.0,2.0,7.0,209.32
3014.0,1,2.0,Mumbai,2.0,0.0,20.0,183.45
2097.0,4,5.0,Pune,1.0,1.0,20.0,156.77
3235.0,4,5.0,Pune,3.0,1.0,4.0,233.99
1400.0,5,5.0,Mumbai,3.0,1.0,6.0,159.07
3163.0,1,2.0,Chennai,1.0,0.0,7.0,166.6
,3,4.0,Delhi,3.0,2.0,18.0,206.7
1041.0,4,3.0,Mumbai,2.0,0.0,5.0,134.61
2841.0,1,2.0,Mumbai,1.0,1.0,20.0,177.88
3412.0,4,4.0,Mumbai,3.0,0.0,3.0,256.96
2163.0,4,4.0,Bangalore,1.0,0.0,7.0,155.81
2939.0,3,3.0,Pune,2.0,2.0,22.0,192.84
2190.0,2,2.0,Chennai,2.0,2.0,14.0,141.36
2278.0,5,5.0,Hyderabad,3.0,1.0,7.0,189.99
3356.0,5,5.0,Chennai,2.0,0.0,5.0,239.69
1575.0,3,3.0,Hyderabad,1.0,0.0,22.0,117.13
834.0,4,4.0,Bangalore,2.0,2.0,5.0,134.1
3053.0,1,2.0,Mumbai,1.0,0.0,23.0,183.16
2755.0,4,4.0,Bangalore,1.0,0.0,2.0,212.64
2385.0,3,2.0,Bangalore,2.0,0.0,21.0,150.02
1821.0,5,5.0,Delhi,3.0,2.0,22.0,178.48
3413.0,4,4.0,Pune,,1.0,6.0,217.87
1929.0,5,4.0,Hyderabad,1.0,1.0,15.0,162.59
2300.0,1,1.0,Mumbai,1.0,0.0,21.0,142.79
1502.0,5,5.0,Hyderabad,2.0,1.0,10.0,154.33
3249.0,5,5.0,Chennai,3.0,2.0,23.0,227.62
2379.0,2,1.0,Hyderabad,3.0,2.0,24.0,152.75
961.0,2,1.0,Chennai,1.0,1.0,7.0,70.79
1001.0,2,3.0,Pune,1.0,1.0,5.0,86.85
2781.0,5,5.0,Chennai,3.0,0.0,1.0,219.02
1795.0,3,2.0,Hyderabad,2.0,1.0,13.0,125.95
3117.0,5,5.0,Hyderabad,1.0,0.0,21.0,212.83
1615.0,3,3.0,Chennai,1.0,0.0,18.0,118.87
1255.0,3,2.0,Bangalore,3.0,2.0,13.0,111.84
2075.0,2,2.0,Pune,2.0,2.0,21.0,119.95
1816.0,4,5.0,Delhi,3.0,2.0,21.0,148.93
3143.0,1,1.0,Mumbai,,2.0,18.0,184.27
1137.0,2,2.0,Hyderabad,2.0,1.0,5.0,104.28
1678.0,2,1.0,Mumbai,2.0,2.0,13.0,141.36
1876.0,4,4.0,Delhi,1.0,1.0,4.0,171.84
1591.0,1,2.0,Mumbai,3.0,2.0,17.0,127.77
3064.0,5,5.0,Delhi,3.0,1.0,3.0,245.33
1563.0,5,4.0,Chennai,2.0,0.0,17.0,145.91
3035.0,2,2.0,Bangalore,1.0,1.0,11.0,175.63
1179.0,1,1.0,Hyderabad,,1.0,21.0,77.24
1292.0,2,1.0,Delhi,3.0,2.0,20.0,116.39
1980.0,3,3.0,Mumbai,1.0,1.0,23.0,152.77
2862.0,2,2.0,Hyderabad,1.0,0.0,21.0,170.49
864.0,2,2.0,Bangalore,2.0,0.0,4.0,90.94
3368.0,5,5.0,Chennai,1.0,2.0,2.0,236.08
2167.0,5,4.0,Hyderabad,2.0,0.0,20.0,173.97
1952.0,5,4.0,Delhi,3.0,1.0,16.0,196.31
2827.0,3,4.0,Bangalore,1.0,0.0,18.0,186.5
3495.0,5,5.0,Mumbai,3.0,2.0,8.0,278.95
2295.0,1,2.0,Bangalore,3.0,1.0,3.0,154.81
1962.0,4,5.0,Bangalore,1.0,2.0,9.0,163.16
2322.0,1,2.0,Pune,1.0,1.0,20.0,129.82
3440.0,1,1.0,Bangalore,3.0,0.0,6.0,202.6
1191.0,5,5.0,Bangalore,1.0,2.0,10.0,142.73
2498.0,4,3.0,Hyderabad,2.0,2.0,21.0,181.66
1218.0,4,3.0,Mumbai,2.0,1.0,10.0,139.58
3136.0,4,3.0,Hyderabad,1.0,2.0,13.0,200.5
1178.0,3,3.0,Hyderabad,3.0,1.0,17.0,121.9
2596.0,5,4.0,Delhi,1.0,1.0,9.0,215.14
3078.0,4,3.0,Hyderabad,1.0,1.0,17.0,193.84
2888.0,3,3.0,Pune,3.0,1.0,24.0,193.51
2982.0,2,1.0,Pune,3.0,0.0,9.0,172.69
1000.0,2,3.0,Delhi,2.0,1.0,9.0,110.48
2663.0,3,4.0,Chennai,3.0,2.0,1.0,198.36
1579.0,3,2.0,Mumbai,2.0,0.0,2.0,155.65
1302.0,5,5.0,Mumbai,3.0,2.0,16.0,170.96
3254.0,5,5.0,Hyderabad,1.0,0.0,1.0,236.69
2551.0,2,2.0,Hyderabad,2.0,1.0,10.0,155.64
1604.0,4,4.0,Chennai,2.0,0.0,18.0,122.27
2946.0,2,3.0,Hyderabad,2.0,0.0,8.0,194.31
2695.0,4,4.0,Mumbai,1.0,2.0,21.0,202.11
2370.0,4,5.0,Bangalore,1.0,2.0,11.0,189.46
1760.0,5,5.0,Pune,1.0,1.0,23.0,150.41
3460.0,1,2.0,Bangalore,1.0,0.0,2.0,214.13
2285.0,1,1.0,Bangalore,1.0,0.0,8.0,139.72
3490.0,3,4.0,Mumbai,2.0,0.0,22.0,228.29
1828.0,5,5.0,Bangalore,1.0,1.0,8.0,168.67
1302.0,4,5.0,Chennai,2.0,1.0,17.0,130.69
1197.0,1,2.0,Delhi,1.0,1.0,15.0,89.59
1670.0,4,4.0,Hyderabad,3.0,1.0,17.0,148.78
1192.0,1,1.0,Delhi,2.0,1.0,23.0,88.82
1006.0,1,2.0,Pune,3.0,2.0,24.0,90.2
1838.0,1,1.0,Hyderabad,2.0,0.0,13.0,112.64
2681.0,5,4.0,Bangalore,3.0,0.0,19.0,187.05
2284.0,2,1.0,Pune,1.0,0.0,5.0,160.17
1663.0,4,3.0,Hyderabad,1.0,0.0,12.0,143.89
1363.0,5,4.0,Chennai,1.0,0.0,1.0,159.19
1820.0,5,5.0,,2.0,0.0,23.0,145.24
895.0,5,5.0,Chennai,3.0,0.0,5.0,129.5
2723.0,5,5.0,Chennai,1.0,0.0,8.0,208.53
2557.0,5,5.0,Bangalore,3.0,2.0,13.0,216.96
3332.0,3,,Delhi,3.0,0.0,8.0,227.0
3078.0,4,3.0,Hyderabad,1.0,2.0,23.0,179.51
2478.0,5,4.0,,1.0,1.0,11.0,181.01
1340.0,4,5.0,Chennai,3.0,0.0,1.0,158.64
1859.0,3,2.0,Delhi,1.0,1.0,13.0,157.82
3372.0,3,2.0,Pune,1.0,1.0,19.0,191.69
1983.0,4,3.0,Pune,1.0,1.0,24.0,150.16
2522.0,1,1.0,Pune,2.0,2.0,,144.9
2619.0,2,2.0,Chennai,3.0,1.0,,151.3
3425.0,1,2.0,Pune,,1.0,17.0,179.71
3404.0,1,1.0,Mumbai,2.0,1.0,5.0,206.38
2397.0,1,1.0,Hyderabad,3.0,0.0,20.0,142.65
3493.0,5,5.0,Hyderabad,1.0,0.0,21.0,222.49
1595.0,3,2.0,Chennai,3.0,2.0,8.0,153.29
1851.0,1,1.0,Mumbai,1.0,2.0,14.0,138.78
2443.0,3,3.0,Bangalore,2.0,,4.0,187.41
2163.0,4,5.0,Bangalore,1.0,2.0,11.0,184.45
2781.0,2,3.0,Pune,3.0,0.0,20.0,176.86
2154.0,4,,Delhi,3.0,1.0,15.0,179.99
2463.0,4,5.0,Bangalore,3.0,1.0,,204.21
2329.0,5,5.0,Delhi,2.0,2.0,7.0,209.33
2838.0,2,2.0,Hyderabad,2.0,0.0,19.0,176.18
2296.0,4,3.0,Delhi,3.0,0.0,19.0,165.6
3037.0,4,3.0,Hyderabad,1.0,2.0,11.0,206.31
,2,1.0,Mumbai,2.0,0.0,5.0,165.52
2200.0,2,1.0,Mumbai,3.0,1.0,5.0,166.05
2106.0,4,4.0,Chennai,3.0,2.0,22.0,167.67
3480.0,2,3.0,Chennai,2.0,2.0,8.0,225.52
3475.0,4,4.0,Pune,2.0,0.0,10.0,217.81
1772.0,4,3.0,Bangalore,2.0,2.0,6.0,168.63
2568.0,5,5.0,Pune,1.0,0.0,15.0,178.54
2082.0,1,2.0,Hyderabad,1.0,,16.0,139.77
1509.0,4,5.0,Pune,3.0,0.0,17.0,144.58
2279.0,3,3.0,Delhi,2.0,0.0,8.0,186.96
2234.0,1,1.0,Hyderabad,1.0,0.0,8.0,136.51
1448.0,1,1.0,Chennai,2.0,2.0,9.0,106.08
1117.0,1,1.0,Mumbai,3.0,1.0,2.0,123.01
2057.0,5,5.0,Chennai,1.0,1.0,15.0,169.47
1483.0,4,4.0,,1.0,2.0,18.0,126.39
1463.0,5,5.0,Hyderabad,1.0,2.0,3.0,162.01
2798.0,4,5.0,Hyderabad,3.0,1.0,,198.27
2431.0,5,5.0,Delhi,2.0,1.0,4.0,203.38
2295.0,5,4.0,Bangalore,1.0,1.0,4.0,197.17
1936.0,3,2.0,Mumbai,3.0,1.0,14.0,162.69
2653.0,5,5.0,Hyderabad,2.0,1.0,9.0,216.41
2320.0,2,3.0,Hyderabad,3.0,0.0,9.0,153.89
,3,4.0,Delhi,2.0,2.0,23.0,213.84
,5,5.0,Pune,3.0,0.0,18.0,148.14
2091.0,1,1.0,Mumbai,2.0,1.0,10.0,152.33
2436.0,2,3.0,Chennai,1.0,1.0,21.0,137.0
1498.0,2,2.0,Bangalore,2.0,1.0,4.0,128.27
,2,2.0,Hyderabad,3.0,0.0,12.0,193.45
801.0,3,2.0,Hyderabad,3.0,0.0,8.0,91.82
1441.0,5,5.0,Chennai,2.0,1.0,2.0,162.03
3067.0,5,5.0,Mumbai,1.0,0.0,22.0,222.62
2389.0,1,1.0,Pune,1.0,0.0,13.0,128.01
1654.0,1,2.0,Hyderabad,2.0,1.0,21.0,115.35
2559.0,2,1.0,Mumbai,2.0,0.0,16.0,173.11
3232.0,1,1.0,Chennai,3.0,2.0,2.0,203.15
2461.0,3,2.0,Delhi,1.0,2.0,11.0,179.35
1953.0,5,5.0,Pune,2.0,2.0,10.0,191.63
1876.0,2,3.0,Bangalore,1.0,2.0,15.0,125.9
2507.0,1,2.0,Hyderabad,2.0,1.0,17.0,146.48
2495.0,3,4.0,Mumbai,2.0,1.0,8.0,192.2
2533.0,3,4.0,Delhi,1.0,1.0,18.0,172.46
2239.0,1,1.0,Bangalore,2.0,2.0,23.0,126.3
3094.0,5,5.0,Mumbai,2.0,2.0,9.0,252.37
1635.0,1,1.0,Mumbai,3.0,0.0,8.0,133.99
1002.0,2,3.0,Bangalore,2.0,0.0,14.0,101.31
922.0,1,1.0,Delhi,2.0,2.0,18.0,75.11
1200.0,3,4.0,Chennai,2.0,2.0,,109.81
1566.0,1,2.0,Delhi,3.0,2.0,20.0,112.76
1093.0,5,4.0,Pune,1.0,2.0,20.0,125.67
3127.0,4,5.0,Hyderabad,3.0,0.0,21.0,205.95
997.0,1,1.0,Bangalore,3.0,2.0,12.0,89.56
2730.0,5,5.0,Chennai,1.0,0.0,19.0,199.13
2991.0,5,5.0,Bangalore,3.0,2.0,14.0,226.47
1408.0,3,3.0,Bangalore,1.0,2.0,17.0,129.31
1947.0,5,5.0,Delhi,3.0,2.0,24.0,194.18
986.0,5,4.0,Hyderabad,1.0,0.0,21.0,113.09
3311.0,5,5.0,Pune,2.0,0.0,3.0,241.81
2594.0,5,4.0,Mumbai,3.0,1.0,23.0,196.74
1459.0,2,2.0,Mumbai,3.0,2.0,7.0,140.62
2755.0,2,3.0,Bangalore,3.0,1.0,17.0,182.85
3250.0,3,4.0,Hyderabad,3.0,1.0,12.0,207.23
2169.0,1,1.0,Chennai,2.0,0.0,9.0,131.07
2786.0,5,5.0,Delhi,3.0,0.0,15.0,228.85
2334.0,1,1.0,Hyderabad,2.0,1.0,18.0,119.59
946.0,1,2.0,Hyderabad,2.0,2.0,21.0,68.26
2534.0,3,2.0,Delhi,2.0,0.0,13.0,177.11
2643.0,5,5.0,Bangalore,2.0,2.0,21.0,209.82
1288.0,5,4.0,Hyderabad,1.0,2.0,8.0,147.46
2759.0,4,5.0,Mumbai,1.0,1.0,14.0,217.84
2463.0,1,1.0,Delhi,3.0,1.0,8.0,166.13
3398.0,1,2.0,Chennai,1.0,1.0,14.0,191.94
3185.0,2,1.0,Pune,1.0,1.0,7.0,177.41
1440.0,4,4.0,Bangalore,3.0,0.0,23.0,130.53
2602.0,2,2.0,Delhi,3.0,0.0,12.0,174.14
3320.0,2,1.0,Pune,3.0,1.0,11.0,193.2
2769.0,2,3.0,Pune,1.0,0.0,22.0,151.74
2998.0,3,2.0,,1.0,1.0,22.0,173.16
2238.0,3,4.0,Hyderabad,3.0,2.0,11.0,177.09
2434.0,2,2.0,Chennai,2.0,2.0,22.0,151.19
1062.0,4,5.0,Hyderabad,3.0,,13.0,130.91
2587.0,1,1.0,Hyderabad,2.0,1.0,18.0,132.09
2991.0,4,5.0,,2.0,2.0,2.0,233.97
3193.0,5,5.0,Delhi,3.0,0.0,21.0,226.12
1423.0,3,4.0,Bangalore,3.0,2.0,15.0,146.9
1816.0,1,1.0,Hyderabad,3.0,2.0,,114.25
1680.0,1,1.0,Pune,1.0,2.0,18.0,91.23
2849.0,5,5.0,Mumbai,2.0,0.0,15.0,228.71
2127.0,5,5.0,Bangalore,1.0,1.0,19.0,187.68
3101.0,2,1.0,Delhi,1.0,0.0,23.0,181.19
1252.0,3,3.0,Chennai,3.0,1.0,24.0,110.9
1983.0,3,2.0,Bangalore,1.0,1.0,12.0,135.03
2856.0,4,5.0,Bangalore,3.0,2.0,13.0,231.09
2482.0,2,2.0,Bangalore,2.0,1.0,22.0,151.12
3055.0,2,2.0,Bangalore,3.0,0.0,11.0,199.15
1954.0,2,,Mumbai,1.0,0.0,5.0,146.33
1203.0,2,2.0,Chennai,1.0,1.0,1.0,111.04
2999.0,3,3.0,Chennai,3.0,2.0,24.0,201.21
2901.0,3,4.0,Chennai,3.0,,3.0,213.33
2496.0,2,2.0,Hyderabad,1.0,0.0,22.0,150.77
1427.0,4,5.0,Pune,2.0,2.0,19.0,134.23
1386.0,1,1.0,Chennai,2.0,1.0,23.0,82.5
2448.0,1,1.0,Bangalore,3.0,1.0,7.0,158.67
2243.0,4,5.0,Bangalore,2.0,0.0,12.0,178.62
2245.0,2,1.0,Chennai,1.0,1.0,15.0,154.76
903.0,3,3.0,Chennai,3.0,0.0,5.0,97.7
1053.0,1,1.0,Bangalore,1.0,1.0,15.0,88.4
3357.0,5,5.0,Hyderabad,1.0,0.0,8.0,237.8
2296.0,5,4.0,Delhi,2.0,2.0,10.0,201.16
898.0,4,3.0,Delhi,3.0,1.0,16.0,131.45
3000.0,2,3.0,Chennai,3.0,1.0,8.0,194.99
2684.0,1,1.0,Mumbai,2.0,0.0,1.0,175.9
2719.0,2,2.0,Chennai,1.0,0.0,12.0,163.09
